SAP_Field,OSC_Field,OSC_Object
Customer,CustomerCode_c,Business
Saleorg,,
Channel,,
Division,,
Salegroup,,
Saleoffice,,
BusinessLine,,
Orderblock,,
Status,,
UpdateDate,,
UpdateTime,,
