SAP_Field,OSC_Field,OSC_Object
Customer,PartyNumber,Account
CustName,OrganizationName,Account
TelNumber,,
TelExtens,OrganizationDEO_TelephoneExtension_c,Account
MobileNumber,OrganizationDEO_MobilePhone_c,Account
FaxNumber,OrganizationDEO_Fax_c,Account
FaxExt,OrganizationDEO_FaxExtension_c,Account
Email,OrganizationDEO_Email_c,Account
DataLine,,
Status,,
UpdateDate,,
UpdateTime,,
